epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        21, 2098.567,    0.001,         0.029186,       9.0275e-05,         0.002261,         0.031537,        0.891,         1.89,         0.07,        0.105,        0.394,        0.525,         0.025683,       8.5435e-05,        0.0014762,         0.027245,         0.83,         1.75,       0.0689,        0.102,        0.322,        0.425
        22, 2197.472,    0.001,            0.029,       9.1885e-05,        0.0019937,         0.031085,        0.884,         1.88,       0.0703,        0.106,         0.37,        0.493,         0.026732,        9.119e-05,        0.0018055,         0.028629,        0.856,         1.79,       0.0703,        0.106,        0.386,         0.47
        23, 2296.380,    0.001,         0.028974,        9.533e-05,        0.0018688,         0.030938,        0.885,         1.88,       0.0714,        0.108,        0.366,        0.478,         0.026463,       0.00010007,        0.0016687,         0.028232,        0.859,         1.78,       0.0727,        0.111,        0.363,        0.452
        24, 2395.312,    0.001,          0.02895,       9.3633e-05,        0.0017564,           0.0308,        0.884,         1.88,       0.0708,        0.107,        0.358,        0.463,         0.025465,       8.9278e-05,        0.0018722,         0.027427,        0.836,         1.74,       0.0685,        0.105,        0.375,        0.478
        25, 2494.106,    0.001,         0.028875,       9.6071e-05,        0.0016789,          0.03065,         0.88,         1.88,       0.0714,        0.108,        0.348,        0.453,         0.030958,       0.00010363,        0.0011097,         0.032171,         1.03,         1.92,       0.0733,        0.113,        0.285,        0.369
        26, 2592.928,    0.001,          0.02891,       9.4016e-05,        0.0019243,         0.030928,         0.88,         1.88,        0.071,        0.107,        0.368,        0.485,         0.026939,       7.9034e-05,        0.0017873,         0.028805,        0.885,          1.8,       0.0629,       0.0983,        0.374,        0.468
        27, 2691.784,    0.001,         0.028657,       9.6106e-05,        0.0017272,         0.030481,        0.875,         1.87,       0.0716,        0.108,        0.351,        0.459,         0.026084,       7.8854e-05,        0.0025927,         0.028755,        0.844,         1.77,       0.0658,       0.0982,        0.469,        0.564
        28, 2790.565,    0.001,         0.028606,       9.6778e-05,        0.0016194,         0.030322,        0.873,         1.87,       0.0721,        0.109,        0.337,        0.445,         0.025616,       9.4738e-05,        0.0009141,         0.026625,        0.866,         1.75,       0.0726,        0.108,        0.258,        0.335
        29, 2889.531,    0.001,         0.028772,       9.6658e-05,        0.0015953,         0.030464,        0.874,         1.87,       0.0714,        0.109,        0.337,        0.441,         0.025947,       0.00010149,        0.0019921,          0.02804,        0.828,         1.77,       0.0758,        0.111,        0.402,        0.494
        30, 2988.346,    0.001,         0.028581,       9.8207e-05,        0.0014838,         0.030163,        0.875,         1.87,       0.0723,        0.109,        0.328,        0.426,         0.027901,       0.00011606,        0.0010211,         0.029038,        0.917,         1.83,       0.0804,        0.119,         0.26,        0.354
